date,Austria_nan,Brunei_nan,Cambodia_nan,Canada_British Columbia,Canada_Quebec,Indonesia_nan,"Korea, South_nan",Greece_nan,Germany_nan,Italy_nan,Japan_nan,Malaysia_nan,New Zealand_nan,Norway_nan,Philippines_nan,Singapore_nan,Spain_nan,Switzerland_nan,Taiwan*_nan,Thailand_nan,Unites States_nan,Vietnam_nan,Total_Total
2020-01-22,-12.0,-12.0,-10.0,-12.0,-12.0,-12.0,-12.0,-12.0,11.0,24.0,2.0,-7.0,-12.0,-12.0,-20.0,-16.0,5.0,-12.0,-12.0,-13.0,-12.0,-9.0,-11.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,1.0,0.0,555.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,654.0
2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,2.0,3.0,941.0
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,8.0,2.0,3.0,0.0,0.0,0.0,3.0,12.0,0.0,3.0,7.0,2.0,2.0,1434.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,19.0,4.0,4.0,0.0,0.0,0.0,4.0,9.0,0.0,4.0,8.0,5.0,2.0,2118.0
2020-01-28,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,11.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,8.0,5.0,2.0,2927.0
2020-01-29,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,6.0,22.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,14.0,5.0,2.0,5578.0
2020-01-30,0.0,0.0,1.0,1.0,0.0,0.0,53.0,0.0,8.0,18.0,70.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,137.0,124.0,74.0,7.0,6831.0
2020-01-31,0.0,0.0,1.0,1.0,0.0,0.0,53.0,0.0,4.0,0.0,102.0,8.0,0.0,0.0,1.0,174.0,0.0,0.0,158.0,77.0,74.0,4.0,9080.0
2020-02-01,0.0,0.0,1.0,7.0,0.0,0.0,90.0,0.0,5.0,2.0,161.0,8.0,0.0,0.0,1.0,59.0,1.0,0.0,46.0,75.0,46.0,2.0,11148.0
2020-02-02,0.0,0.0,1.0,1.0,0.0,0.0,101.0,0.0,8.0,2.0,210.0,31.0,0.0,0.0,1.0,79.0,1.0,0.0,46.0,49.0,57.0,28.0,13296.0
2020-02-03,0.0,0.0,1.0,1.0,0.0,0.0,84.0,0.0,10.0,11.0,108.0,26.0,0.0,0.0,2.0,73.0,10.0,0.0,29.0,36.0,8.0,38.0,18349.0
2020-02-04,0.0,0.0,1.0,1.0,0.0,0.0,60.0,0.0,230.0,7.0,99.0,26.0,0.0,0.0,2.0,56.0,23.0,0.0,19.0,37.0,24.0,47.0,21706.0
2020-02-05,0.0,0.0,1.0,1.0,0.0,0.0,66.0,0.0,57.0,15.0,86.0,31.0,0.0,0.0,2.0,62.0,17.0,0.0,11.0,26.0,24.0,47.0,25630.0
2020-02-06,0.0,0.0,1.0,12.0,0.0,0.0,84.0,0.0,54.0,13.0,72.0,19.0,0.0,0.0,2.0,75.0,8.0,0.0,11.0,26.0,24.0,55.0,30129.0
2020-02-07,0.0,0.0,1.0,22.0,0.0,0.0,108.0,0.0,52.0,31.0,60.0,13.0,0.0,0.0,2.0,45.0,9.0,0.0,20.0,37.0,24.0,69.0,33491.0
2020-02-08,0.0,0.0,1.0,68.0,0.0,0.0,37.0,0.0,54.0,51.0,62.0,18.0,0.0,0.0,21.0,42.0,7.0,0.0,17.0,25.0,12.0,68.0,37491.0
2020-02-09,0.0,0.0,1.0,71.0,0.0,0.0,34.0,0.0,30.0,38.0,35.0,31.0,0.0,0.0,18.0,36.0,1.0,0.0,20.0,36.0,11.0,16.0,40502.0
2020-02-10,0.0,0.0,1.0,69.0,0.0,0.0,28.0,0.0,31.0,3.0,51.0,18.0,0.0,0.0,3.0,57.0,34.0,0.0,24.0,35.0,11.0,25.0,43203.0
2020-02-11,0.0,0.0,1.0,69.0,0.0,0.0,33.0,0.0,17.0,14.0,51.0,30.0,0.0,0.0,3.0,56.0,23.0,0.0,24.0,40.0,11.0,22.0,45873.0
2020-02-12,0.0,0.0,1.0,55.0,0.0,0.0,33.0,0.0,22.0,25.0,58.0,22.0,0.0,0.0,3.0,53.0,7.0,0.0,20.0,33.0,12.0,20.0,47649.0
2020-02-13,0.0,0.0,1.0,21.0,0.0,0.0,28.0,0.0,22.0,29.0,40.0,18.0,0.0,0.0,3.0,50.0,19.0,0.0,20.0,33.0,12.0,15.0,47858.0
2020-02-14,0.0,0.0,1.0,28.0,0.0,0.0,28.0,0.0,20.0,13.0,29.0,53.0,0.0,0.0,3.0,63.0,36.0,0.0,18.0,33.0,13.0,16.0,63066.0
2020-02-15,0.0,0.0,1.0,4.0,0.0,0.0,28.0,0.0,28.0,16.0,29.0,30.0,0.0,0.0,3.0,75.0,39.0,0.0,18.0,33.0,13.0,16.0,69762.0
